Index,Title,Release Year,Director,Description,Rating
86,A Clockwork Orange,1971,Stanley Kubrick,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven.…",4.12
87,Titanic 1997,1997,James Cameron,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi…",3.81
88,There Will Be Blood,2007,Paul Thomas Anderson,"Ruthless silver miner, turned oil prospector, Daniel Plainview moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him…",4.45
89,Chungking Express,1994,Wong Kar-wai,"Two melancholic Hong Kong policemen fall in love: one with a mysterious underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",4.3
90,No Country For Old Men,2007,"Joel Coen, Ethan Coen","Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail.…",4.33
91,Tangled 2010,2010,"Byron Howard, Nathan Greno","When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical,…",3.94
92,Moonlight 2016,2016,Barry Jenkins,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while…",4.2
93,Lost In Translation,2003,Sofia Coppola,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's…",3.82
94,Baby Driver,2017,Driver (2017) directed,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",3.72
95,Prisoners,2013,Denis Villeneuve,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. But just how far will this desperate father go…",4.29
96,The Notebook,2004,Nick Cassavetes,"An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by…",3.71
97,The Big Lebowski,1998,Joel Coen,"Jeffrey The Dude Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged…",4.13
98,Apocalypse Now,1979,Francis Ford Coppola,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, does not exist, nor will it ever exist. His goal is to locate - and eliminate - a…",4.44
99,Harry Potter And The Prisoner Of Azkaban,2004,Alfonso Cuarón,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But…",4.09
